Cover_Thickness_mm,Reinforcement_Diameter_mm,Water_Cement_Ratio,Temperature_K,Relative_Humidity_pct,Chloride_Ion_Content_kgm3,Time_Years,log_Corrosion_Rate_uAcm2
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.08158090865098433
20.0,14.0,0.35,313.0,85.0,0.142,0.3,0.3940677374644011
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.2986227543296027
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.2468608591812206
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
70.0,16.0,0.41,292.0,63.0,1.43,1.0,0.07045939561457634
50.0,20.0,0.4,303.0,80.0,2.77,0.35,0.2151121860682332
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
30.0,20.0,0.4,313.0,80.0,5.8,0.35,0.3074854350418079
20.0,14.0,0.63,293.0,95.0,0.228,0.3,0.5364939553097191
10.0,14.0,0.35,303.0,55.0,0.215,0.3,0.3067498710039088
70.0,16.0,0.43,293.0,75.0,4.92,1.0,0.24059125108114338
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.23111251461386534
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.1906211860545892
20.0,14.0,0.55,283.0,65.0,0.217,0.3,0.18148871007338638
50.0,20.0,0.3,303.0,80.0,5.8,0.35,0.3038021923387719
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.285179694113079
70.0,16.0,0.42,285.0,63.0,0.36,0.9,0.048791116549930874
70.0,20.0,0.4,293.0,80.0,5.8,0.35,0.3111551612373873
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.062036330768635045
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.22314435131388974
50.0,20.0,0.3,313.0,80.0,5.8,0.35,0.29267036023119825
20.0,14.0,0.63,323.0,45.0,0.228,0.3,0.26926425086941147
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.29713797416431054
50.0,25.0,0.4,293.0,80.0,5.8,0.35,0.3155411299745138
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,20.0,0.4,313.0,80.0,4.97,0.35,0.2723153569349921
51.0,16.0,0.42,299.0,70.0,0.78,0.9,0.10255749085176061
20.0,14.0,0.35,283.0,65.0,0.231,0.3,0.1980316708433427
51.0,16.0,0.42,300.0,70.0,0.63,0.9,0.09894085365159477
20.0,14.0,0.35,333.0,75.0,0.231,0.3,0.42853103250474633
50.0,20.0,0.4,303.0,80.0,4.14,0.35,0.41211031307826934
70.0,16.0,0.42,286.0,63.0,0.36,0.9,0.05543565296144681
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.19474489983744056
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.32063389828060845
70.0,16.0,0.42,286.0,63.0,0.36,0.9,0.053541714794879174
70.0,16.0,0.43,293.0,75.0,4.92,1.0,0.24059125108114338
51.0,16.0,0.42,300.0,70.0,0.81,0.9,0.159565422185894
70.0,16.0,0.44,292.0,75.0,2.45,0.9,0.13627849089251615
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.3442993815876476
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.05921280213847072
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.2911767090899129
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.30010533319080446
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.29267036023119825
20.0,14.0,0.35,293.0,95.0,0.231,0.3,0.48057319902396844
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.31481146976677443
51.0,16.0,0.41,300.0,70.0,1.43,0.9,0.10616109510856182
51.0,16.0,0.44,300.0,70.0,2.45,0.9,0.25231470561446473
50.0,20.0,0.4,313.0,80.0,6.62,0.35,0.31481146976677443
20.0,14.0,0.35,303.0,55.0,0.231,0.3,0.2546429935670787
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.04688454009686846
51.0,16.0,0.42,291.0,70.0,0.63,0.9,0.06859372517199187
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.3667249727921867
20.0,14.0,0.35,303.0,55.0,0.142,0.3,0.22314435131388974
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.08434206755097555
10.0,14.0,0.35,293.0,95.0,0.215,0.3,0.3906904991157676
20.0,14.0,0.35,313.0,85.0,0.231,0.3,0.5833328725882974
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,20.0,4.0,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
50.0,20.0,0.4,313.0,80.0,4.14,0.35,0.3852630810625224
20.0,14.0,0.63,313.0,85.0,0.228,0.3,0.5098257240328274
50.0,20.0,0.4,303.0,80.0,6.62,0.35,0.3220842238065319
50.0,20.0,0.4,293.0,80.0,4.14,0.35,0.39541544565510955
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.24294696292380738
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.08158090865098433
50.0,20.0,0.4,293.0,80.0,6.62,0.35,0.2889320409156027
20.0,14.0,0.63,283.0,65.0,0.228,0.3,0.26773519975273324
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.08342252810185069
70.0,16.0,0.42,289.0,63.0,0.78,0.9,0.06391426382951673
20.0,14.0,0.55,303.0,55.0,0.217,0.3,0.2889320409156027
51.0,16.0,0.45,300.0,70.0,0.31,0.9,0.08617861367182415
50.0,20.0,0.4,303.0,80.0,4.97,0.35,0.26313396816958085
10.0,14.0,0.35,333.0,75.0,0.215,0.3,0.5164105987184245
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.09166810093416668
20.0,14.0,0.35,293.0,95.0,0.142,0.3,0.22713636939617873
50.0,20.0,0.4,303.0,80.0,4.28,0.35,0.25153740342010195
50.0,20.0,0.4,293.0,80.0,2.77,0.35,0.2646700656021219
50.0,25.0,0.4,313.0,80.0,5.8,0.35,0.35417251547475354
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.135405510368267
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.4304835212782994
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.3220842238065319
20.0,14.0,0.63,333.0,75.0,0.228,0.3,0.5492773875072823
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.07325139110719055
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.30010533319080446
51.0,16.0,0.45,290.0,70.0,0.31,1.0,0.053541714794879174
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
50.0,20.0,0.4,293.0,80.0,4.28,0.35,0.28292150892928913
