Cover_Thickness_mm,Reinforcement_Diameter_mm,Water_Cement_Ratio,Temperature_K,Relative_Humidity_pct,Chloride_Ion_Content_kgm3,Time_Years,log_Corrosion_Rate_uAcm2
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.08158090865098433
20.0,14.0,0.35,313.0,85.0,0.142,0.3,0.3940677374644011
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.2986227543296027
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.2468608591812206
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
70.0,16.0,0.41,292.0,63.0,1.43,1.0,0.07045939561457634
50.0,20.0,0.4,303.0,80.0,2.77,0.35,0.2151121860682332
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
30.0,20.0,0.4,313.0,80.0,5.8,0.35,0.3074854350418079
20.0,14.0,0.63,293.0,95.0,0.228,0.3,0.5364939553097191
10.0,14.0,0.35,303.0,55.0,0.215,0.3,0.3067498710039088
70.0,16.0,0.43,293.0,75.0,4.92,1.0,0.24059125108114338
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.23111251461386534
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.1906211860545892
20.0,14.0,0.55,283.0,65.0,0.217,0.3,0.18148871007338638
50.0,20.0,0.3,303.0,80.0,5.8,0.35,0.3038021923387719
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.285179694113079
70.0,16.0,0.42,285.0,63.0,0.36,0.9,0.048791116549930874
70.0,20.0,0.4,293.0,80.0,5.8,0.35,0.3111551612373873
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.062036330768635045
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.22314435131388974
50.0,20.0,0.3,313.0,80.0,5.8,0.35,0.29267036023119825
20.0,14.0,0.63,323.0,45.0,0.228,0.3,0.26926425086941147
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.29713797416431054
50.0,25.0,0.4,293.0,80.0,5.8,0.35,0.3155411299745138
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,20.0,0.4,313.0,80.0,4.97,0.35,0.2723153569349921
51.0,16.0,0.42,299.0,70.0,0.78,0.9,0.10255749085176061
20.0,14.0,0.35,283.0,65.0,0.231,0.3,0.1980316708433427
51.0,16.0,0.42,300.0,70.0,0.63,0.9,0.09894085365159477
20.0,14.0,0.35,333.0,75.0,0.231,0.3,0.42853103250474633
50.0,20.0,0.4,303.0,80.0,4.14,0.35,0.41211031307826934
70.0,16.0,0.42,286.0,63.0,0.36,0.9,0.05543565296144681
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.19474489983744056
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.32063389828060845
70.0,16.0,0.42,286.0,63.0,0.36,0.9,0.053541714794879174
70.0,16.0,0.43,293.0,75.0,4.92,1.0,0.24059125108114338
51.0,16.0,0.42,300.0,70.0,0.81,0.9,0.159565422185894
70.0,16.0,0.44,292.0,75.0,2.45,0.9,0.13627849089251615
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.3442993815876476
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.05921280213847072
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.2911767090899129
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.30010533319080446
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.29267036023119825
20.0,14.0,0.35,293.0,95.0,0.231,0.3,0.48057319902396844
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.31481146976677443
51.0,16.0,0.41,300.0,70.0,1.43,0.9,0.10616109510856182
51.0,16.0,0.44,300.0,70.0,2.45,0.9,0.25231470561446473
50.0,20.0,0.4,313.0,80.0,6.62,0.35,0.31481146976677443
20.0,14.0,0.35,303.0,55.0,0.231,0.3,0.2546429935670787
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.04688454009686846
51.0,16.0,0.42,291.0,70.0,0.63,0.9,0.06859372517199187
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.3667249727921867
20.0,14.0,0.35,303.0,55.0,0.142,0.3,0.22314435131388974
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.08434206755097555
10.0,14.0,0.35,293.0,95.0,0.215,0.3,0.3906904991157676
20.0,14.0,0.35,313.0,85.0,0.231,0.3,0.5833328725882974
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,20.0,4.0,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
50.0,20.0,0.4,313.0,80.0,4.14,0.35,0.3852630810625224
20.0,14.0,0.63,313.0,85.0,0.228,0.3,0.5098257240328274
50.0,20.0,0.4,303.0,80.0,6.62,0.35,0.3220842238065319
50.0,20.0,0.4,293.0,80.0,4.14,0.35,0.39541544565510955
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.24294696292380738
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.08158090865098433
50.0,20.0,0.4,293.0,80.0,6.62,0.35,0.2889320409156027
20.0,14.0,0.63,283.0,65.0,0.228,0.3,0.26773519975273324
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.08342252810185069
70.0,16.0,0.42,289.0,63.0,0.78,0.9,0.06391426382951673
20.0,14.0,0.55,303.0,55.0,0.217,0.3,0.2889320409156027
51.0,16.0,0.45,300.0,70.0,0.31,0.9,0.08617861367182415
50.0,20.0,0.4,303.0,80.0,4.97,0.35,0.26313396816958085
10.0,14.0,0.35,333.0,75.0,0.215,0.3,0.5164105987184245
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.09166810093416668
20.0,14.0,0.35,293.0,95.0,0.142,0.3,0.22713636939617873
50.0,20.0,0.4,303.0,80.0,4.28,0.35,0.25153740342010195
50.0,20.0,0.4,293.0,80.0,2.77,0.35,0.2646700656021219
50.0,25.0,0.4,313.0,80.0,5.8,0.35,0.35417251547475354
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.135405510368267
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.4304835212782994
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.3220842238065319
20.0,14.0,0.63,333.0,75.0,0.228,0.3,0.5492773875072823
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.07325139110719055
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.30010533319080446
51.0,16.0,0.45,290.0,70.0,0.31,1.0,0.053541714794879174
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.388658667757655
50.0,20.0,0.4,293.0,80.0,4.28,0.35,0.28292150892928913
30.23707182815751,19.91718590347784,0.4019490362804228,300.6623358867611,80.9060211691999,5.819769113781016,0.3456411787654625,0.3576751435722707
64.82487021093645,20.08245247987626,0.4521286210799021,281.2198517728283,75.14327997690057,12.26807056834362,15.758625147746704,0.07510840013015994
19.974869676784262,13.93380499735838,0.5465237815923224,292.9220299547468,96.18793408236995,0.21579931410538042,0.30143845848976525,0.5013817706313266
70.58661266938284,15.842543498191292,0.4211407961766143,283.9703593305261,63.53688512430833,0.763035412723033,0.8951866668034715,0.06952699548399605
64.47458250825441,20.23061985346,0.4495806065472604,288.26499129156645,74.55162705817668,12.119186448555938,15.916525984490708,0.1906211860545892
50.245709086963075,20.072708405147964,0.3916276633493989,314.66937755852933,80.22321656632269,4.277384204224067,0.3489559217804427,0.28216764591119936
50.20476839159811,20.205671492550692,0.505515143853578,303.99966465605917,79.19634489254938,5.826814287851037,0.3479258236376351,0.18979439876217294
10.037390395830204,13.701306652650844,0.3532580129393773,310.7484678124578,83.1747661896794,0.21335893997606561,0.29565750037341076,0.5031972011962382
51.36909626757425,15.79325253125153,0.41766623105958733,296.8366866693593,69.29872295518105,0.6372571433835804,0.9145664950656346,0.08984161807615415
48.88015573757206,19.912793315082915,0.39706689355292485,315.02712478645304,78.6299224717535,5.793959610057868,0.3477946809082061,0.14323503463665888
19.98937385657867,14.014942842307812,0.34647026216244037,322.0814034359549,45.04930330442998,0.22879406326024454,0.2977016735371173,0.2468608591812206
10.0372464532389,13.9197204279961,0.3517309683570271,326.61781444658146,44.987724060671034,0.2165049195035798,0.2997230239543943,0.26390231183523766
49.82859738495352,20.033451678199754,0.3978614575173399,296.0003284320566,79.29118044862693,5.8496785411182275,0.3504782654528215,0.25309140407937597
49.634766258674915,19.913852641342565,0.4066811035101998,290.38084111618826,81.89525716451345,5.827883079551317,0.34926749132442736,0.1612689986595899
50.989268681099794,15.90859036253104,0.4121075802901183,299.2432318856165,69.52779226119753,1.4251887462325592,0.9888925451494506,0.08158090865098433
19.83050268219284,13.910617875177056,0.34680294226207625,286.16152189870223,64.4510147793443,0.1431705349372428,0.30031038840411395,0.13889286918825905
50.98733000801886,20.064280756075334,0.3995344982953679,294.1305698580656,79.96225277487399,5.749928252730466,0.34354646291660756,0.30232508828667787
49.236047951351296,25.113048631485164,0.4010615445261775,298.76336850993107,80.43866703551882,5.710255162529192,0.35516186936121147,0.3893364036848263
49.46041714454335,20.09949122058114,0.4005088249329462,291.84187882766076,80.96976212302346,5.7644905675749065,0.34598268768069884,0.30232508828667787
70.09284940520483,16.16123458186946,0.4186331255129566,287.04184104839766,62.20589412174579,0.7790728847881481,0.8916917056495743,0.06297573812808376
49.50365278164291,20.143732616650205,0.3940983550381472,298.2569431347255,80.43003743619559,5.850507216633003,0.3532246968665354,0.30010533319080446
50.61934142584912,15.804956341653124,0.428604208591948,280.79484507693394,68.80446761964679,0.7833793561424708,0.9926711410769369,0.08158090865098433
64.14184871772429,19.866380361492396,0.4503807995234874,291.115857805297,73.75355741640061,12.279480406916376,15.857803348479104,0.07325139110719055
50.36911274324216,20.037775750075983,0.399572815960095,293.198730414777,80.61885073668546,5.743362559834025,0.3544071450675672,0.09531108889482073
49.97949837633377,20.077662893013553,0.49611551681172206,313.86279629160003,80.12456659394898,5.928496038692812,0.3562532371722794,0.31481146976677443
19.809931686401775,14.0875124743067,0.5438346389480415,332.21039045106875,74.58055084541459,0.21860209510767048,0.2999029296698585,0.42983311517433437
51.774081088507934,15.848707685862006,0.43207475669791656,300.1737658524695,69.54163379094537,2.463943709649009,0.9115352256265778,0.16636238395491756
50.329808099063655,19.72911907293002,0.39491016798568035,301.716423439631,80.08016668823433,5.7978982407333435,0.3440289356063739,0.1266335319902466
50.11536095309141,19.98357570340079,0.40082473485284337,304.4091211345567,80.49639625869173,5.853828928979216,0.34717389975764296,0.26313396816958085
50.49887761925342,15.977644378724523,0.42782234404243935,300.2132173849823,69.85060692802405,0.7861541411050845,0.911854756966424,0.1371507099864351
50.94348195682772,16.16594103526476,0.4113737515501351,297.24305490094656,70.60910137603999,1.4278068003061237,1.006443017499093,0.08892712410706623
49.88094845353137,19.991408710336707,0.3982589651734749,304.42409279338136,79.8540912587084,5.792329631128564,0.3493085343487434,0.3038021923387719
52.351963349287814,16.160386978269052,0.4187362761616526,303.3480347422676,68.90355646788751,0.6263476826855799,0.9090079334577443,0.11064741534181063
70.52557618449185,15.937159359179544,0.4532730776881508,290.00243157770285,63.17235506161976,0.3099057454015766,1.0021699561463282,0.05826985151975719
49.881160741446934,20.126311948132994,0.40140420744016825,297.9541913272066,80.48577540982566,5.821570156110812,0.34836843272118967,0.2287287251527422
49.502205224998356,20.331401335861653,0.40518405585720674,291.809269536282,79.97348105417377,5.830092421648735,0.3482084986484885,0.31481146976677443
19.644728604486726,14.215331924553048,0.5589839345008124,315.963266595541,84.07795696876968,0.21754195930855302,0.29551427136722314,0.48489285750284344
50.352591213006534,15.865699202812149,0.40516853014727444,299.9324335824835,68.72446701744246,1.4326650318238785,0.8967173061575227,0.14928256404182624
19.891833702083282,13.831824800728413,0.6265007618527726,305.0953642960113,53.76096634262549,0.2249412602610613,0.2999835054521804,0.3435904136096835
49.97510630545236,20.228574321670216,0.40425118092997786,310.1493628884694,80.61835576952474,5.8876474296792285,0.34695347599355264,0.3414604888640534
51.20168913317646,16.219919777168688,0.4494680671122599,294.7342900869433,69.35306065057843,0.31249939405515015,0.8905273565184032,0.5423248722205415
65.29342578063991,20.075901786637544,0.44498864460555926,293.45882891761323,75.41591673970157,12.107039231650079,15.99491284043407,0.11956012236869192
70.47961002866454,19.99972461567015,0.4008445539879983,303.03355430717005,80.10777317489278,5.744428848499041,0.3498067676102462,0.35276802184815703
49.60596892154542,19.59627213798968,0.4059733494274913,303.3137775140363,79.07759558500298,5.749925285788637,0.3443572262061602,0.30010533319080446
70.10914565609674,15.954534190111117,0.4378136708460737,290.9602926146006,74.56893643007828,2.461277119214223,0.9058699529085807,0.14063199854909883
50.47206620876565,20.040620080539476,0.39554835785271025,311.39234186150543,79.34638805129937,5.817999944553564,0.34670616318532904,0.31408127676623493
51.3886696919975,16.389943103029903,0.4441051307487294,310.2677737103846,71.01178631828995,2.4334778350004584,0.9806106371651623,0.1906211860545892
70.39818663600848,15.880495630470005,0.4099500594515543,294.6752312511949,62.47458184336537,1.4402189318645446,0.9833316291081698,0.08065882552625406
69.19558802426246,19.873613534871666,0.4058537919628357,313.12107541746497,80.07139902491744,5.807437079905638,0.34976783454816995,0.440189188081346
51.29332812547062,15.96765526246549,0.4042107881818136,295.3389242337718,69.52706899646368,1.434334872212568,0.983834206533693,0.07973589137946144
51.31198723339718,15.954791284051291,0.41754547924614094,280.6688770916785,69.75361003198995,0.7828088924567141,1.0072444844695037,0.08158090865098433
20.26089386951427,13.713677817442292,0.35482522109537623,313.9983737065842,85.12924277373183,0.14131398609158483,0.29965484582819485,0.3940677374644011
50.06548933183507,19.982877445844345,0.4027646889016643,291.34448887289676,80.46717268008155,5.7768941434235925,0.34744947459463693,0.2986227543296027
50.35107917771501,19.793455003543446,0.40126766185195994,300.4187146896656,78.62093734462061,5.844099025483446,0.35518274782358344,0.2468608591812206
50.88660155576375,19.93507272422952,0.399213991895527,291.13678262009694,80.24066949161828,5.860828625161575,0.35193175754623285,0.30232508828667787
69.81290969862617,15.815061503580335,0.4041265638214057,291.9567804655196,64.39071209393235,1.452482715485092,0.9882526103175722,0.07045939561457634
49.789098469082525,20.38435454838833,0.3998839797995861,303.03941434547437,81.4515286297601,2.8281070449343386,0.3558998646249514,0.2151121860682332
50.179206874080286,20.040162581733686,0.4058170486172397,308.06691027097565,80.84545025315026,5.8493567716935715,0.35389746171375286,0.388658667757655
30.01554971048735,19.990451393312448,0.3959262810614652,312.9099024791491,80.27099126203545,5.856896408485168,0.34692576325400903,0.3074854350418079
19.806656075169904,14.35862600935891,0.6343913486430504,293.10602027713287,96.60579334975154,0.22806895263612414,0.29579858040165974,0.5364939553097191
9.974147147780531,13.970656593354317,0.3511903647653801,305.2960461697451,54.92288950125589,0.21604848198666612,0.3019919095679679,0.3067498710039088
70.68151631207495,16.07741679429877,0.4311939627403251,290.9895195062493,75.18474959814073,4.961362831771156,1.008099048866723,0.24059125108114338
49.955063409223364,20.28432686396675,0.3983667001131155,305.33824413246776,81.27372758063258,5.807206878540592,0.34705321011459306,0.23111251461386534
65.06389404132163,20.00098461153778,0.4471557090354309,286.46829838263017,76.33064543877946,12.254047348750444,15.945996505857158,0.1906211860545892
19.95399400349853,14.101265978138771,0.5456731415013926,285.23171447161536,64.79089947563,0.21431068783658164,0.2983415031951701,0.18148871007338638
50.75857571197573,19.909719994464023,0.3022170231086854,299.59139907300425,79.02470801078113,5.886316563255208,0.3447196719698601,0.3038021923387719
50.2299094547427,19.93728397208365,0.39855150880749235,302.106889237953,80.16228529582827,5.88700239670425,0.34841303270054974,0.285179694113079
70.04252154989916,15.878451720546598,0.42349855107170487,284.49745513273865,63.95161876535657,0.3557801382976152,0.9021775924710386,0.048791116549930874
68.91477868385346,20.005851318442925,0.40159318483221046,290.27672936656626,79.75542003519521,5.832742191822447,0.3502088228227824,0.3111551612373873
66.20113515243887,19.712751444930092,0.4568626127015462,285.7145994322138,75.43391733966006,12.15167508279353,16.065868296724243,0.062036330768635045
64.43578029117145,20.171439786427907,0.44722728140055934,282.91278071546975,74.50459635495169,12.19554494600931,15.837351537099147,0.22314435131388974
50.67884740055906,19.601458262803824,0.29501922790765855,314.82083139770265,81.35211768889445,5.707073495142464,0.35969159673066553,0.29267036023119825
20.105169562242622,13.957599745782908,0.6303669183781783,319.51475772169465,45.13980556413446,0.22482236540671394,0.3016496079992209,0.26926425086941147
50.18098409017535,19.984174182909342,0.3958854173681676,288.66191707869,80.44421510827573,5.825049197003216,0.3439396640942076,0.29713797416431054
50.32259635541851,24.775268811782777,0.40872350293204474,292.84581721440287,80.69892334782524,5.870633261565275,0.35102790013589763,0.3155411299745138
50.986303203928664,20.236997034272783,0.4067380007712087,291.77100875108874,79.58660499718651,5.823601759332517,0.35303316159794307,0.30232508828667787
49.83440672786655,19.960658498476114,0.3959699935483813,313.5619675197151,80.32204978089831,5.044422584536417,0.346056114242764,0.2723153569349921
50.79821840588139,15.82022218641194,0.4230208166715419,299.81532262968443,70.84720692194301,0.7995998947601294,0.8900364918492802,0.10255749085176061
19.71843218644213,14.140446192932902,0.35353195587198727,288.85286805927745,66.08859503124185,0.22711636791530876,0.30397988517169355,0.1980316708433427
51.03495032445212,16.31276582761479,0.41831321129238735,297.529283626309,69.70533748176177,0.6303589778517382,0.8965743886870069,0.09894085365159477
19.96374959085021,14.155209481798716,0.3533422045384762,331.98173103200537,75.41040818585228,0.22851052839699007,0.3058593293730311,0.42853103250474633
50.39610454721196,20.23858686240605,0.4004655883492396,304.46330194954834,80.2848816433643,4.187514231974129,0.3457857674182964,0.41211031307826934
69.90081899321736,16.156870274310002,0.4177014423034834,284.43808526583604,62.12621333515953,0.36508403431431063,0.8944516328716997,0.05543565296144681
49.510192528117294,20.129445050377548,0.3977332191799267,310.6637158642332,80.35986399500906,5.909446801399746,0.35248559888239184,0.19474489983744056
50.1943930435766,19.900556979975846,0.3987959082650976,305.5937778498855,81.71932464335585,5.800502144250249,0.3501827165669474,0.32063389828060845
71.17936538620216,16.283898782179197,0.41678775537890617,290.67678360699597,62.19735895664464,0.3561904576025858,0.898069966370931,0.053541714794879174
70.93355383955213,15.91334439388034,0.4229987095269508,297.08612403698294,75.7657451131818,4.943009165321254,1.0085639444496455,0.24059125108114338
50.981688161680175,16.077777948764016,0.4285451809962792,300.5967672569844,70.3914167432099,0.8313527805134637,0.8976511328831387,0.159565422185894
69.82599759079275,15.898840090134138,0.43723155446080925,293.2933563691064,75.35112433155743,2.430086383645772,0.9126252182264732,0.13627849089251615
50.21046548556182,19.66008975173216,0.40468146076316747,302.7761068215219,79.4014650523681,5.769568397733005,0.3504457141044906,0.3442993815876476
64.65414324009214,20.379256267133133,0.4489147810698961,290.8059240657941,75.47988776771736,12.184654759455242,15.807833650571755,0.05921280213847072
50.40698648769209,20.063006318373247,0.3959330923578271,311.4176618036861,80.41520086489797,5.802184219476781,0.34554731052561927,0.2911767090899129
50.621477857598386,20.2454928342242,0.3954374262807312,302.62949832188997,80.69263449956382,5.830750997230383,0.3510825024042774,0.30010533319080446
49.58637922796585,20.41873959656919,0.3986096176717233,311.1550398875236,80.07390178722494,5.802214697274127,0.3529488507118192,0.29267036023119825
20.08622516786271,14.091739849164071,0.35140460504263904,293.57072821229997,95.73003297879433,0.23138391723358293,0.3026410220399986,0.48057319902396844
49.993118554526525,19.872803399355934,0.39229283660320824,306.43351724293905,80.25671626965335,5.838413917957308,0.35331096191240563,0.31481146976677443
50.49546679183755,15.941554178220732,0.40913959150848683,303.9428575730741,71.31416138772651,1.4070113165523848,0.9014861582972654,0.10616109510856182
50.61557704089043,15.883557791565195,0.43946264065780344,301.31979858499943,68.91954242837943,2.4365311567984143,0.9128701321614844,0.25231470561446473
50.14431388268028,19.91269315553797,0.40467679024918013,313.73083080143715,79.56003643013818,6.661368398588743,0.3444922453768079,0.31481146976677443
19.889574030480105,13.880168236186172,0.3570434303554611,304.1790471983729,54.122426476822966,0.22929484293968697,0.2979444517782106,0.2546429935670787
64.49307294588797,19.95440218172787,0.4384120082987969,283.8442513350949,75.14209059389535,12.256010058358559,16.14954192588534,0.04688454009686846
51.31998416891112,15.880974137725126,0.418138131480976,294.21383832485213,70.82228959812888,0.6317811088660065,0.9163997061952875,0.06859372517199187
49.8844974812835,20.275450253123076,0.3976507848117421,293.4940449873306,80.52160857900239,5.716758145926804,0.3506720612750134,0.3667249727921867
20.196464796976898,13.992630914060648,0.3527601002538323,304.13096652406443,54.402044259165365,0.1442939628905933,0.30233837365896415,0.22314435131388974
66.01196358802709,19.77767902096214,0.44712806109176595,295.0513034534025,74.4123506286595,12.291925373255525,16.02494056654093,0.08434206755097555
10.23979450521721,14.19873406974269,0.35394728661197666,288.33723643623296,95.73126968432057,0.21487579182627967,0.29819595508213986,0.3906904991157676
19.77099651193911,14.110025720741925,0.35123243805764764,311.5306678454005,85.32373978632359,0.22710744211129436,0.2983041517154639,0.5833328725882974
49.659577819702896,19.967559558080563,0.39816326615511394,295.1642560247444,79.45285276204882,5.831468017039336,0.3538874580450487,0.30232508828667787
50.02364662344632,20.146120848930238,4.013422823874145,292.3066923908524,79.1685817495702,5.770642670383218,0.35124823281208195,0.30232508828667787
50.521902108130504,19.971914054515484,0.4051868710922789,313.1889852588776,80.31813466653014,5.792741011167197,0.3486836849556904,0.388658667757655
50.10101381167221,19.87516926777247,0.40643116667775614,311.968049963586,80.40520207275802,4.068180187320283,0.3500087346580356,0.3852630810625224
20.01519144859694,14.198749473878173,0.6359138177943663,312.3112133415315,85.39604547973843,0.22567867980040632,0.3044408468557908,0.5098257240328274
49.6094398032206,20.230022106031843,0.40159256078105116,300.11449804545254,78.80970085240287,6.5921279504251435,0.351730774444103,0.3220842238065319
49.71615465284518,19.91795988843593,0.4035553164234714,292.6387041449865,80.81712758274485,4.138004421804533,0.35088522610470285,0.39541544565510955
49.34131630835043,20.141643171534763,0.4011660336311622,303.96801369037394,80.72446416131682,5.739658558552578,0.3543892353802607,0.24294696292380738
51.40953991447291,15.940541348726134,0.42696522302746603,283.98032629042785,69.66660805304373,0.7812617863272757,1.0083687967877248,0.08158090865098433
51.02682348245613,19.865012942975632,0.4071976576262702,293.344432359798,80.13482387643865,6.623437071368107,0.3534967252500865,0.2889320409156027
20.06204237684254,13.83140936723573,0.6306132054755593,287.34415412101606,64.17878577020656,0.22629376447281455,0.2965521853752526,0.26773519975273324
64.82080349869564,19.91177685711846,0.450482345832703,285.3482225376275,74.75938072282037,12.360863200590796,16.04630847991197,0.08342252810185069
69.73552308272255,15.988688257627052,0.41792383518598625,290.75292406295796,62.58426560253038,0.7776587423236438,0.898318285687198,0.06391426382951673
19.94045854825218,13.80358898850048,0.547980569775544,302.7591055257236,54.77534757594372,0.21799319531701877,0.3012747091367548,0.2889320409156027
51.60356276312842,16.006770374796208,0.4502044729662801,299.0568704242314,69.25643743045148,0.3027559108724281,0.8980057508356124,0.08617861367182415
50.19390135612984,19.85363377059365,0.3945187854933411,303.59943632736173,79.21388520875541,4.8674838292807,0.3487800557366931,0.26313396816958085
10.186889457773876,13.845847694635045,0.35109091033393147,333.9309961519881,75.84397692172038,0.21411045169516485,0.2973995413607033,0.5164105987184245
64.43921342830771,19.81229329412567,0.45160457327921855,283.4069424643879,75.57159820269766,12.184873903364528,16.361642222460016,0.09166810093416668
20.229621852433763,13.888926330129117,0.3516900900544589,293.68210596219745,95.13079362258705,0.14268128495574334,0.29628981570793345,0.22713636939617873
50.14875583204292,19.91961647447609,0.3924103891624399,303.4578129671369,79.762611429464,4.328184646579536,0.3455497028583734,0.25153740342010195
50.60818082613102,19.937903976335633,0.4016865423310021,294.0982695333708,78.82796115068196,2.7793865026913087,0.35193902558514845,0.2646700656021219
49.25495605490895,24.507575003949537,0.4028922866866312,314.42889365854444,79.1399890657511,5.794758951295502,0.354179540074797,0.35417251547475354
